,conference,year,title,abstract
0,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,A parametric space approach to the computation of multi-scale geometric features,"In this paper we present a novel generic method for the fast and accurate computation of geometric features at multiple scales. The presented method works on arbitrarily complex models and operates in the parametric space. The majority of the existing methods compute local features directly on the geometric representation of the model. Our approach decouples the computational complexity from the underlying geometry and in contrast to other parametric space methods, it is not restricted to a specific feature or parameterization of the surface. We show that the method performs accurately and at interactive rates, even for large feature areas of support, rendering the method suitable for animated shapes. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
1,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Improved representation of dependencies in feature-based parametric CAD models using acyclic digraphs,"In an engineering design context, the process of modeling complex 3D parts with feature-based parametric software systems often produces a large number of dependencies between geometric features that are difficult to manage. The resulting network of feature interdependencies can be understood as an alternative representation of the CAD model that can help identify the most important aspects of the geometry, its critical features, and understand the overall complexity and interconnectedness of the model. Being able to visualize and process this information efficiently can significantly enhance design activities and facilitate model reuse, which can ultimately lead to cost and time savings, and better quality models. In this paper, we identify some of the simplifications and elements that are overlooked by current representation techniques and describe the negative consequences of not taking these elements into consideration. We describe a new method and a software solution to generate a simplified, intuitive, and more accurate visualization of a parametric model as an acyclic digraph. Finally, to validate our approach, the proposed representation is compared to existing techniques using a group of CAD models. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
2,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Inverse light design for high-occlusion environments,"Lighting design is a demanding but very important task in computer cinematography, games and architectural design. Computer-assisted lighting design aims at providing the designers with tools to describe the desired outcome and derive a suitable lighting configuration to match their goal. In this paper, we present an automatic approach to the inverse light source emittance and positioning problem, based on a layered linear / non-linear optimization strategy and the introduction of a special light source indexing according to the compatibility of each individual luminary position with the desired illumination. Our approach is independent of a particular light transport model and can quickly converge to an appropriate and plausible light configuration that approximates the desired illumination and can handle environments with high occlusion. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
3,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Synthesizing realistic shadows with bumpy surface and object model estimated by shadows in single image,"Shadows play an important role in the human perception of 3D geometry in photographs, and properly synthesized shadows produce a realistic rendering result. Shadows, especially hard shadows, define powerful constraints between a light source, occluders, and the surfaces onto which shadows are cast. We aim to create a pseudo 3D scene in which the light produces shadows that are the same as those in the input image by taking the shadow constraints into account. Our method requires only a few user annotations and an input image, with the objects and their cast-shadows segmented in advance. The segmentation and the user annotations are used to create a shadow-free texture and a 3D scene, and users can then interactively edit the image by moving the objects and changing the lighting. Our system produces realistic shadows in real-time while enabling interactive editing. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
4,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Volumetric Quasi-conformal mappings: Quasi-conformal mappings for volume deformation with applications to geometric modeling,"Due to intrinsic differences between surfaces and higher dimensional objects, some important results regarding surfaces can not be extended to volumetric domains. Most significantly, there exist no conformal volumetric maps apart from Möbius transformations. Although it is sometime stated explicitly, it is often overlooked that existing methods of volume parameterization produce only quasi-conformal maps, which may be ""far from conformality"". We therefore introduce methods for assessing the extent of the local and global volumetric deformation by means of the amount of conformal distortion produced. To this end we first illustrate basic three-dimensional quasi-conformal deformations that are produced by parameterization techniques, and highlight theoretical issues associated with spatial quasi-conformal mappings, and the relation that exists between the geometry of the domain and conformal distortion. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
5,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Towards a fully automatic markerless motion analysis system for the estimation of body joint kinematics with application to sport analysis,"We present a complete markerless motion analysis system for the estimation of human body joint kinematics (JK) in sports. The system works in two phases, an offline phase in which a reference 3D scan (model) of the athlete is acquired. A skeleton consisting of a number of articulated joints is then fitted to the model based on anatomical data. In the online phase, a number of video cameras are utilized to capture the athlete motion from different viewpoints. In order to reconstruct the 3D motion of the athlete, a method is developed to estimate the intrinsic and the extrinsic parameters of all cameras. Synchronized videos are then captured of the athlete while performing an action then a kernel density estimator based background segmentation algorithm is applied to extract the silhouettes of the athlete in each video which are then reprojected to their 3D source to reconstruct an estimate of the body shape (visual hull). To estimate the JK, constrained optimization techniques are then used to extract information from the shape and the skeleton of the reconstructed VH. This includes a number of geometrically-driven cost functions driven by mathematical and physical constraints of the human body to align and deform the reference 3D model to the shape of the VH. Unlike existing pose estimation approaches where a reference pose with labeled body parts are used to initialize the pose estimation process, our approach identifies the the body shape and parts automatically and without any assumptions of its temporal continuity when dealing with unrelated frames which is a very challenging task due to the high dimensionality of the pose space. The proposed system modules are tested with real examples and achieved a promising results. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
6,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Integrated modeling of road environments for driving simulation,"Virtual environments for driving simulations aimed to scientific purposes require three-dimensional road models that must obey to detailed standards of specification and realism. The creation of road models with this level of quality requires previous definition of the road networks and the road paths. Each road path is usually obtained through the dedicated work of roadway design specialists, resulting in a long time consuming process. The driving simulation for scientific purposes also requires a semantic description of all elements within the environment in order to provide the parameterization of actors during the simulation and the production of simulation reports. This paper presents a methodology to automatically generate road environments suitable to the implementation of driving simulation experiences. This methodology integrates every required step for modelling road environments, from the determination of interchanges nodes to the generation of the geometric and the semantic models. The human supervisor can interact with the model generation process at any stage, in order to meet every specific requirement of the experimental work. The proposed methodology reduces workload involved in the initial specification of the road network and significantly reduces the use of specialists for preparing the road paths of all roadways. The generated semantic description allows procedural placing of actors in the simulated environment. The models are suitable for conducting scientific work in a driving simulator. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
7,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,PGP2X: Principal geometric primitives parameters extraction,"In reverse engineering, it is important to extract the 3D geometric primitives that compose an object. It is also important to find the values of the parameters describing each primitive. This paper presents an approach for the estimation of the parameters of geometric primitives once their type is known using 3D information. The primitives of interest are planes, spheres, cylinders, cones, tori and partial instances of the latter four types. The proposed approach extends methods found in the literature for planes, spheres, cylinders and cones and proposes a new method for dealing with tori. The results of the proposed method are compared to approaches found in the literature as well as with ground truth values. The proposed method can be applied to the estimation of parameters of geometric primitives of synthetic CAD models as well as for models of real objects acquired with 3D scanners. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
8,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Generative training for 3D-retrieval,"A digital library for non-textual, multimedia documents can be defined by its functionality: markup, indexing, and retrieval. For textual documents, the techniques and algorithms to perform these tasks are well studied. For non-textual documents, these tasks are open research questions: How to markup a position on a digitized statue? What is the index of a building? How to search and query for a CAD model? If no additional, textual information is available, current approaches cluster, sort and classify non-textual documents using machine learning techniques, which have a cold start problem: they either need a manually labeled, sufficiently large training set or the (automatic) clustering / classification result may not respect semantic similarity. We solve this problem using procedural modeling techniques, which can generate arbitrary training sets without the need of any ""real"" data. The retrieval process itself can be performed with any method. In this article we describe the histogram of inverted distances in detail and compare it to salient local visual features method. Both techniques are evaluated using the Princeton Shape Benchmark (Shilane et al., 2004). Furthermore, we improve the retrieval results by diffusion processes. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
9,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2015,Context-sensitive filtering of terrain data based on multi scale analysis,"This paper addresses triangle count reduction for regular terrain triangulations. Supported by additional information available from cadastre data, non-linear low pass filtering based on wavelet coefficients is applied. The aim is to generate a simplified view of a city model's terrain so that still landmarks can be easily recognized. Height data, that are not critical for visual impressions, are compressed with lower resolution than height data belonging to landmarks. Results are presented for the German city of Krefeld. Copyright © 2015 SCITEPRESS - Science and Technology Publications. All rights reserved."
