,conference,year,title,abstract
0,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
1,ACM Symposium on Virtual Reality Software and Technology,2015,An HDL-synthesized gated-edge-injection PLL with a current output DAC,"This paper presents a small area, low power, fully synthesizable PLL with a current output DAC and an interpolative-phase coupled oscillator using edge injection technique for on-chip clock generation. A prototype PLL is fabricated in a 65nm digital CMOS process, achieves a 1.7-ps integrated jitter at 0.9 GHz and consumes 0.78 mW leading to an FOM of -236.5 dB while only occupying an area of 0.0066 mm2. It achieves the best performance-area trade-off. © 2015 IEEE."
2,ACM Symposium on Virtual Reality Software and Technology,2015,An oscillator-based true random number generator with process and temperature tolerance,"This paper presents an oscillator-based true random number generator (TRNG) that automatically adjusts the duty cycle of a fast oscillator to 50 %, and generates unbiased random numbers tolerating process variation and dynamic temperature fluctuation. Measurement results with 65nm test chips show that the proposed TRNG adjusted the probability of '1' to within 50 ± 0.07 % in five chips in the temperature range of 0 °C to 75 °C. Consequently, the proposed TRNG passed the NIST and DIEHARD tests at 7.5 Mbps with 6,670 μm2 area. © 2015 IEEE."
3,ACM Symposium on Virtual Reality Software and Technology,2015,Implementation of double arbiter PUF and its performance evaluation on FPGA,"Low uniqueness and vulnerability to machine-learning attacks are known as two major problems of Arbiter-Based Physically Unclonable Function (APUF) implemented on FPGAs. In this paper, we implement Double APUF (DAPUF) that duplicates the original APUF in order to overcome the problems. From the experimental results on Xilinx Virtex-5, we show that the uniqueness of DAPUF becomes almost ideal, and the prediction rate of the machine-learning attack decreases from 86% to 57%. © 2015 IEEE."
4,ACM Symposium on Virtual Reality Software and Technology,2015,A negative-resistance sense amplifier for low-voltage operating STT-MRAM,"This paper exhibits a 65-NM 8-Mb spin transfer torque magnetoresistance random access memory (STT-MRAM) operating at 0.38V. The proposed sense amplifier comprises a boosted-gate nMOS and negative-resistance pMOSes as loads, which maximizes the readout margin. The STT-MRAM achieves a cycle time of 1.9 μs (= 0.526 MHz) at 0.38 V. The operating power is 1.70 μW at that voltage. © 2015 IEEE."
5,ACM Symposium on Virtual Reality Software and Technology,2015,"A high stability, low supply voltage and low standby power six-transistor CMOS SRAM","The SVL circuit not only improve 'read' and 'write' characteristics of SRAMs, but also reduce the stand-by powers of the SRAMs. Therefore, SRAMs incorporating SVL circuits are very useful for use in low supply voltage, battery-driven portable systems. © 2015 IEEE."
6,ACM Symposium on Virtual Reality Software and Technology,2015,An efficient multi-port memory controller for multimedia applications,"The remedy for processor-memory bottleneck has considered as the key to success because of the substantial growth in multimedia applications. In this paper, an efficient external multi-port memory controller (MPMC) which consists of several buffers to speed up the transactions, embedded memory to store the configuration, and an arbiter to schedule all access, is proposed. The experimental results prove that the proposed design can operate independently of other system architectures, support up to 16 simultaneous external components with different clocks and data width, and achieve up to 88% and 92% of theory peak bandwidth for write and read process, respectively. © 2015 IEEE."
7,ACM Symposium on Virtual Reality Software and Technology,2015,Reliability-configurable mixed-grained reconfigurable array compatible with high-level synthesis,This paper presents a mixed-grained reconfigurable VLSI array architecture that can cover mission-critical applications to consumer products through C-to-array application mapping. A proof-of-concept VLSI chip was fabricated in a 65nm process. Measurement results show that applications on the chip can be working in a harsh radiation environment. © 2015 IEEE.
8,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
9,ACM Symposium on Virtual Reality Software and Technology,2015,A 128-way FPGA platform for the acceleration of KLMS algorithm,"This paper proposes a 128-way parallel FPGA platform to accelerate the kernel least mean square (KLMS) algorithm. With the adoption of a quantized method and pipeline technology, this platform which works at 200MHz is 4827 times faster, on average, than the Matlab code running on a 3GHz Intel(R) Core(TM) i5-2320 CPU. © 2015 IEEE."
10,ACM Symposium on Virtual Reality Software and Technology,2015,A real-time permutation entropy computation for EEG signals,"In this paper, we implement a reconfigurable FPGA accelerator which could compute multiscale permutation entropy for 128 EEG signals simultaneously in real time. When it works at 150MHz and the window size is 256, compared with C code running on a 3GHz Intel(R) Core(TM) i5-2320 CPU, the average speedup is 3748. © 2015 IEEE."
11,ACM Symposium on Virtual Reality Software and Technology,2015,A high efficient hardware architecture for multiview 3DTV,"There are three main challenges to design an efficient multiview 3DTV SoC:(1)how to organize DRAM address mapping to maximize off-chip bandwidth utilization;(2)how to design a parallel configurable image scaling engine to interpolate various viewpoints in real-time; (3)how to reduce computational complexity of float-point sub-pixel rearrangement with sufficient accuracy. To this end, we present a highly optimized hardware architecture, which saves 38.4% logic and 37.5% memory resources when implementing a multiview [email protected] 3DTV on the Xilinx XC5VLX330 FPGA. © 2015 IEEE."
12,ACM Symposium on Virtual Reality Software and Technology,2015,Design of a scalable many-core processor for embedded applications,"We present a novel design of scalable many-core processor with its comprehensive development framework, including the Electronic System Level, Register Transfer Level, and full-system prototyping platforms. Architecture exploration, performance evaluation and system verification/validation can be done across different abstraction levels. With our hardware-independent software layer, applications built on top of the fast virtual platform can be executed seamlessly on the prototype. The emulation result justifies the effectiveness of our processor architecture in embedded applications. © 2015 IEEE."
13,ACM Symposium on Virtual Reality Software and Technology,2015,A DPA/DEMA/LEMA-resistant AES cryptographic processor with supply-current equalizer and micro em probe sensor,"Combination of a supply-current equalizer (EQ) and a micro EM probe sensor (EMS) exhibits strong resiliency against major three DPA/DEMA/LEMA low-cost side-channel attacks on a cryptographic processor. Test-chip measurements with 128bit AES cryptographic processor in 0.18μm CMOS successfully demonstrate the secret key protection from all three attacks. A digital-oriented circuit implementation together with a careful design optimization minimize the hardware overhead of EQ and EMS to +33%, +1.6% in area, +7.6%, +0.15% in power, and ∼0%, -0.2% in performance of an unprotected AES, respectively. © 2015 IEEE."
14,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
15,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
16,ACM Symposium on Virtual Reality Software and Technology,2015,Dual-output wireless power delivery system for small size large volume wireless memory card,A single-inductor dual-output wireless power delivery system for small size battery-less NAND flash memory card is presented. The power delivery system uses two rectifiers connected to a single inductor which is synchronously switched by pseudo-random-sequence PWM signal with induced AC voltage. The power delivery system can generate 8 V and 16 V with peak efficiency of 40 % and maximum total transmitting power of 0.5 W. The test chips were designed and fabricated using 0.18um-CMOS with high-voltage LDMOS option. © 2015 IEEE.
17,ACM Symposium on Virtual Reality Software and Technology,2015,A tri-level 50MS/s 10-bit capacitive-DAC for Bluetooth applications,"This document summarizes, for the university design contest, a chip design of a low power dissipation and small die area 10-bit capacitive digital-to-analog converter (DAC) in a 0.18 μm CMOS process. Power dissipation of this chip is 350 μW including the output buffers. The die area is 0.081mm 2 . © 2015 IEEE."
18,ACM Symposium on Virtual Reality Software and Technology,2015,A tail-current modulated VCO with adaptive-bias scheme,This paper proposes a tail-current modulated VCO with adaptive-bias scheme. The proposed adaptive-bias scheme ensures robust startup conditions for the tail-feedback VCO. A tail-feedback VCO using the proposed scheme is implemented in a 0.18-μm CMOS process. The measured phase noise is -119.3dBc/Hz at 1MHz offset with a power dissipation of 6.8mW at 4.6GHz. © 2015 IEEE.
19,ACM Symposium on Virtual Reality Software and Technology,2015,A Low-Power VCO based ADC with asynchronous sigma-delta modulator in 65nm CMOS,This paper presents a low power VCO based ADC with asynchronous sigma-delta modulator (ASDM). A prototype is designed in 65nm CMOS technology with a measured performance of 54.3dB SNDR and 68dB SFDR over 8MHz bandwidth while consuming 2.8mW from a 1.2V supply. © 2015 IEEE.
20,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
21,ACM Symposium on Virtual Reality Software and Technology,2015,None,None
22,ACM Symposium on Virtual Reality Software and Technology,2015,Circuit and package design for 44GB/s inductive-coupling DRAM/SoC interface,"A 44GB/s inductive-coupling DRAM/SoC interface is developed by PoP integration. It utilizes the advantages of both TSV and LPDDR by using a ThruChip Interface (TCI) and an ultra-thin fan-out wafer level package (UT-FOWLP). The TCI allows data communication between the stacked chips while the UT-FOWLP thins the chips stacking distance and provides the chips with power. This proposed DRAM/SoC interface outperforms WIO2 with TSV in terms of area efficiency (4× better), immunity from simultaneous switching output (SSO) noise (32× better) and manufacturing cost (40% cheaper). In addition, it outperforms LPDDR4 in PoP in terms of power dissipation (5× lower) and timing control easiness. The inductive-coupling interface is newly designed to allow 12× improvement on its area efficiency. By using overlapping coils with quadrature phase division multiplexing (PDM), the coil density is increased by 4 times. The coil density is further increased by 3 times by shortening communication distance with the UT-FOWLP. © 2015 IEEE."
