,conference,year,title,abstract
0,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,None,None
1,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,None,None
2,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Interactive streamline exploration and manipulation using deformation,"Occlusion presents a major challenge in visualizing 3D flow fields using streamlines. Displaying too many streamlines creates a dense visualization filled with occluded structures, but displaying too few streams risks losing important features. A more ideal streamline exploration approach is to visually manipulate the cluttered streamlines by pulling visible layers apart and revealing the hidden structures underneath. This paper presents a customized deformation algorithm and an interactive visualization tool to minimize visual cluttering. The algorithm is able to maintain the overall integrity of the flow field and expose the previously hidden structures. Our system supports both mouse and direct-touch interactions to manipulate the viewing perspectives and visualize the streamlines in depth. By using a lens metaphor of different shapes to select the transition zone of the targeted area interactively, the users can move their focus and examine the flow field freely. © 2015 IEEE."
3,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Moment invariants for 3D flow fields via normalization,"We generalize the framework of moments and introduce a definition of invariants for three-dimensional vector fields. To do so, we use the method of moment normalization that has been shown to be useful in the two dimensions. Using invariant moments, we show how to search for patterns in these fields independent from their position, orientation and scale. From the first order vector moment tensor, we construct a complete and independent set of descriptors. We test the invariants in queries on synthetic and real world flow fields. © 2015 IEEE."
4,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Surface flow visualization using the closest point embedding,"In this paper, we introduce a novel flow visualization technique for arbitrary surfaces. This new technique utilizes the closest point embedding to represent the surface, which allows for accurate particle advection on the surface as well as supports the unsteady flow line integral convolution (UFLIC) technique on the surface. This global approach is faster than previous parameterization techniques and prevents the visual artifacts associated with image-based approaches. © 2015 IEEE."
5,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Parallel unsteady flow line integral convolution for high-performance dense visualization,"This paper presents an accurate parallel implementation of unsteady flow line integral convolution (UFLIC) for high-performance visualization of large time-varying flows. Our approach differs from previous implementations by using a novel value scattering+gathering mechanism to parallelize UFLIC and designing a pathline reuse strategy to reduce the computational cost of pathline integration. By exploiting the massive parallelism of modern graphical processing units (GPU), the proposed method allows for real-time dense visualization of unsteady flows with high spatial-temporal coherence. © 2015 IEEE."
6,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Dendrogramix: A hybrid tree-matrix visualization technique to support interactive exploration of dendrograms,"Clustering is often a first step when trying to make sense of a large data set. A wide family of cluster analysis algorithms, namely hierarchical clustering algorithms, does not provide a partition of the data set but a hierarchy of clusters organized in a binary tree, known as a dendrogram. The dendrogram has a classical node-link representation used by experts for various tasks like: to decide which subtrees are actual clusters (e.g., by cutting the dendrogram at a given depth); to give those clusters a name by inspecting their content; etc. We present Dendrogramix, a hybrid tree-matrix interactive visualization of dendrograms that superimposes the relationship between individual objects on to the hierarchy of clusters. Dendrogramix enables users to do tasks which involve both clusters and individual objects that are impracticable with the classical representation, like: to explain why a particular objects belongs to a particular cluster; to elicit and understand uncommon patterns (e.g., objects that could have been classified in a totally different cluster); etc. Those sensemaking tasks are supported by a consistent set of interaction techniques that facilitates the exploration of large clustering results. © 2015 IEEE."
7,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Attribute-driven edge bundling for general graphs with applications in trail analysis,"Edge bundling methods reduce visual clutter of dense and occluded graphs. However, existing bundling techniques either ignore edge properties such as direction and data attributes, or are otherwise computationally not scalable, which makes them unsuitable for tasks such as exploration of large trajectory datasets. We present a new framework to generate bundled graph layouts according to any numerical edge attributes such as directions, timestamps or weights. We propose a GPU-based implementation linear in number of edges, which makes our algorithm applicable to large datasets. We demonstrate our method with applications in the analysis of aircraft trajectory datasets and eye-movement traces. © 2015 IEEE."
8,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Interactive visual summary of major communities in a large network,"In this paper, we introduce a novel visualization method which allows people to explore, compare and refine the major communities in a large network. We first detect major communities in a network using data mining and community analysis methods. Then, the statistics attributes of each community, the relational strength between communities, and the boundary nodes connecting those communities are computed and stored. We propose a novel method based on Voronoi treemap to encode each community with a polygon and the relative positions of polygons encode their relational strengths. Different community attributes can be encoded by polygon shapes, sizes and colors. A corner-cutting method is further introduced to adjust the smoothness of polygons based on certain community attribute. To accommodate the boundary nodes, the gaps between the polygons are widened by a polygon-shrinking algorithm such that the boundary nodes can be conveniently embedded into the newly created spaces. The method is very efficient, enabling users to test different community detection algorithms, fine tune the results, and explore the fuzzy relations between communities interactively. The case studies with two real data sets demonstrate that our approach can provide a visual summary of major communities in a large network, and help people better understand the characteristics of each community and inspect various relational patterns between communities. © 2015 IEEE."
9,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Clustered edge routing,"The classic method to depict graphs is a node-link diagram where vertices (nodes) are associated with each object and edges (links) connect related objects. However, node-link diagrams quickly appear cluttered and unclear, even for moderately sized graphs. If the positions of the nodes are fixed then suitable link routing is the only option to reduce clutter. We present a novel link clustering and routing algorithm which respects (and if desired refines) user-defined clusters on links. If no clusters are defined a priori we cluster based on geometric criteria, that is, based on a well-separated pair decomposition (WSPD).We route link clusters individually on a sparse visibility spanner. To completely avoid ambiguity we draw each individual link and ensure that clustered links follow the same path in the routing graph. We prove that the clusters induced by the WSPD consist of compatible links according to common similarity measures as formalized by Holten and van Wijk [17]. The greedy sparsification of the visibility graph allows us to easily route around obstacles. Our experimental results are visually appealing and convey a sense of abstraction and order. © 2015 IEEE."
10,Conference of the European Chapter of the Association for Computational Linguistics (EACL),2015,Spherical layout and rendering methods for immersive graph visualization,"While virtual reality has been researched in many ways for spatial and scientific visualizations, comparatively little has been explored for visualizations of more abstract kinds of data. In particular, stereoscopic and VR environments for graph visualization have only been applied as limited extensions to standard 2D techniques (e.g. using stereoscopy for highlighting). In this work, we explore a new, immersive approach for graph visualization, designed specifically for virtual reality environments. © 2015 IEEE."
