,conference,year,title,abstract
0,Conference on Computational Natural Language Learning (CoNLL),2015,Indoor skydiving in immersive virtual reality with embedded storytelling,"We describe the Virtual Jump Simulator, which allows subjects to perform an indoor parachute jump in a virtual environment. The necessity to jump physically off a platform combined with immersive virtual reality and tactile feedback creates an experience with a high amount of presence, as the evaluation of the prototype confirms. The system consists of a steel cube, a mechanical absorber system with stacked eccentric wheels and counterweights that allows subjects in the weight range from 35 to 150kg to jump without the need for individual calibration, a virtual reality setup with high-quality 3D content and tactile stimuli. In the immersive virtual jump experience, we embed a story using rich multimedia content, such as images and sound. We iteratively tested the entire system with users of different backgrounds. Thereby, we gathered user feedback from the very beginning to create a novel virtual reality system that allows for actual physical jumping and flying with free body movement. © 2015 ACM."
1,Conference on Computational Natural Language Learning (CoNLL),2015,None,None
2,Conference on Computational Natural Language Learning (CoNLL),2015,Efficient intrinsic image decomposition for RGBD images,"Intrinsic image decomposition is a longstanding problem in computer vision. In this paper, we present a novel approach for efficiently decomposing an RGBD image into its reflectance and shading components. A robust super-pixel segmentation method is employed to select piece-wise constant reflectance regions and reduce the total number of unknowns. With the use of depth information, low frequency environment light can be represented by spherical harmonics and solved with super-pixels. After that, pixels that do not belong to any super-pixel are solved based on the superpixels' shading. Compared to existing works, which often depend on the color Retinex assumption, our algorithm does not require any chromaticity-based constraints and enables us to solve many challenging cases such as color lighting environments and gray-scale textures. We also design an efficient solver for our system, and with our GPU implementation, it achieves 10-23 fps and boosts the decomposition process to real-time performance, enabling a wide range of applications such as dynamic object recoloring, re-texturing and virtual object composition. © 2015 ACM."
3,Conference on Computational Natural Language Learning (CoNLL),2015,Vector solid texture synthesis using two-scale shaping model,"Solid textures exhibit several benefits over traditional texture mapping, such as no demanding for parameterization and providing internal information. However, the difficulty in accessing and high memory consumption seriously limit the usage of solid textures. We present an efficient approach to directly synthesize vector solid textures comprising 3D particles from 2D examples. Two-scale shaping model is introduced to automatically and accurately reconstruct 3D particle outlines from 2D cross sections. Low frequency spherical harmonics are used to morph smooth outlines while high frequency ones model particle surface details. These outlines are further converted to signed distance field grids for vector representation. Particle volume color is represented by radial basis functions. We arrange particles using simplified particle proxies to improve efficiency. Particles' position offsets are calculated according to the particle itself and one-ring neighbor particles' shapes iteratively. Finally, our cell-building algorithm constructs containers and computes scale for each particle instance. Experiments show that our algorithm can generate vector solid textures with plausible 3D particles. © 2015 ACM."
4,Conference on Computational Natural Language Learning (CoNLL),2015,Direct lighting on meso-structured surfaces with area light sources,"We present a novel direct lighting rendering method for static scenes with meso-structured surfaces and multiple area light sources. We use coarse geometry models with textures bound on them as inputs. The textures contain not only color maps, but also height field maps to represent the small concave and convex details for meso-structured surfaces. We explore traditional radiosity process as the main frame of our algorithm, and extend radiosity to directional radiosity for approximating light transportation on meso-structured surfaces. In pre-processing step, first, the form factors between the triangles of coarse models and the patches of area light sources are pre-computed. Then the directional radiosity of each triangle is computed by gathering irradiance according to directions sampled uniformly on the hemi-sphere of them. At last, directional radiosity of a vertex is estimated according to the directional radiosity of triangles passing through this vertex. For each frame, we combine relief texture mapping with directional radiosity to shade meso-structured surface. The experiment results show that our method has very similar quality and better time performance for rendering the scenes with meso-structured surfaces and multiple area light sources compared with SM+RTM method. © 2015 ACM."
5,Conference on Computational Natural Language Learning (CoNLL),2015,GPU ray-traced collision detection for cloth simulation,"We propose a method to perform collision detection with cloths with ray-tracing. Our method is able to perform collision detection between cloths and volumetric objects (rigid or deformable) as well as collision detection between cloths (including auto-collision). Our method casts rays between objects to perform collision detection, and an inversion-handling algorithm is introduced to correct errors introduced by discrete simulations. GPU computing is used to improve the performances. Our implementation handles scenes containing deformable objects at an interactive frame-rate, with collision detection lasting a few milliseconds. © 2015 ACM."
6,Conference on Computational Natural Language Learning (CoNLL),2015,Head-mounted display with mid-air tactile feedback,"Virtual and physical worlds are merging. Currently users of head-mounted displays cannot have unobtrusive tactile feedback while touching virtual objects. We present a mid-air tactile feedback system for head-mounted displays. Our prototype uses the focus of a modulated ultrasonic phased array for unobtrusive mid-air tactile feedback generation. The array and the hand position sensor are mounted on the front surface of a head-mounted virtual reality display. The presented system can enhance 3D user interfaces and virtual reality in a new way. To evaluate the tactile feedback together with visuals on an Oculus Rift VR headset, we had 13 participants do a simple virtual keypad tapping task with and without tactile feedback. The results indicate that while the measured speed and accuracy differed only a little, the subjects were nearly unanimous in that they preferred to use the tactile feedback. The ""raw"" NASA TLX questionnaires conducted after use revealed that the participants felt slightly less mental, physical and temporal demand with the tactile feedback. The participants' self-assessment of their performance was also higher with the tactile feedback. © 2015 ACM."
7,Conference on Computational Natural Language Learning (CoNLL),2015,TouchSketch: A touch-based interface for 3D object manipulation and editing,"To make constrained manipulation of 3D objects in desktop 3D applications, 3D transformation widgets are commonly used. However, their performance degrades on touchscreens because of low accuracy of touch inputs and the fingertip occlusion problem. In this paper, we present TouchSketch, a touch-based interface which allows users to perform independently fine-grained object translation, rotation and scaling on mobile devices. Our manipulation technique permits using the non-dominant hand to specify the manipulation reference while the dominant hand is used to determine the operation mode and control the transformation. In addition to 3D manipulation, TouchSketch provides also a set of functions to edit the shape of 3D objects. Users can use this application to accomplish rapid sketching tasks. We have conducted a user study to evaluate the efficiency of our manipulation technique. The results show that our technique outperforms a Widget-based technique regarding both the efficiency and fluency. © 2015 ACM."
8,Conference on Computational Natural Language Learning (CoNLL),2015,Virtual reality based laparoscopic surgery simulation,"With the development of computer graphic and haptic devices, training surgeons with virtual reality technology has proven to be very effective in surgery simulation. Many successful simulators have been deployed for training medical students. However, due to the various unsolved technical issues, the laparoscopic surgery simulation has not been widely used. Such issues include modeling of complex anatomy structure, large soft tissue deformation, frequent surgical tools interactions, and the rendering of complex material under the illumination of headlight. A successful laparoscopic surgery simulator should integrate all these required components in a balanced and efficient manner to achieve both visual/haptic quality and a satisfactory refreshing rate. In this paper, we propose an efficient framework integrating a set of specially tailored and designed techniques, ranging from deformation simulation, collision detection, soft tissue dissection and rendering. We optimize all the components based on the actual requirement of laparoscopic surgery in order to achieve an improved overall performance of fidelity and responding speed. © 2015 ACM."
9,Conference on Computational Natural Language Learning (CoNLL),2015,Interactive virtual percussion instruments on mobile devices(Open Access),"We present a multimodal virtual percussion instrument system on consumer mobile devices that allows users to design and configure customizable virtual percussion instruments and interact with them in real time. Users can create virtual instruments of different materials and shapes interactively, by editing and selecting the desired characteristics. Both the visual and auditory feedback are then computed on the fly to automatically correspond to the instrument properties and user interaction. We utilize efficient 3D input processing algorithms to approximate and represent real-time multi-touch input with key meta properties and adopt fast physical modeling to synthesize sounds. Despite the relatively limited computing resources on mobile devices, we are able to achieve rich and responsive multimodal feedback based on real-time user input. A pilot study is conducted to assess the effectiveness of the system. © 2015 ACM."
10,Conference on Computational Natural Language Learning (CoNLL),2015,High quality compatible triangulations for 2D shape morphing,"We propose a new method to compute compatible triangulations of two polygons in order to create a smooth geometric transformation between them. Compared with existing methods, our approach creates triangulations of better quality, that is, triangulations with fewer long thin triangles and Steiner points. This results in visually appealing morphing when transforming the shape from one to another. Our method consists of three stages. First, we compatibly decompose the target and source polygons into a set of sub-polygons, in which each source sub-polygon is triangulated. Second, we map the triangulation of a source sub-polygon onto the corresponding sub-polygon of the target polygon using linear transformation, thereby generating the compatible meshes between the source and the target. Third, we refine the compatible meshes, which can create better quality planar shape morphing with detailed textures. Experimental results show that our method can create compatible meshes of higher quality compared with existing methods, which facilitates smoother morphing process. The proposed algorithm is robust and computationally efficient. It can be applied to produce convincing transformations such as interactive 2D animation creation and special effects in movies. © 2015 ACM."
11,Conference on Computational Natural Language Learning (CoNLL),2015,Procedural techniques for simulating the growth of plant leaves and adapting venation patterns,"This paper presents biologically-motivated a procedural method for the simulation of leaf contour growth and venation development. We use a mathematical model for simulating the growth of a plant leaf. Leaf tissue is regarded as a viscous, incompressible fluid whose 2D expansion is determined by a spatially varying growth rate. Visually realistic development is described by a growth function ℝEℝG that reacts to hormone (auxin) sources embedded in the leaf blade. The shape of the leaf is determined by a set of feature points within the leaf contour. The contour is extracted from photos by utilizing a Curvature Scale Space (CSS) Corner Detection Algorithm. Auxin transport is described by an initial auxin flux from an auxin source to an auxin sink that is gradually channelized into cells with high levels of highly polarized transporters. The leaf is presented as a triangulated double layer structure that consists of a Voronoi-Diagram that is discretised along the vein structures. © 2015 ACM."
12,Conference on Computational Natural Language Learning (CoNLL),2015,A novel integrated analysis-and-simulation approach for detail enhancement in FLIP fluid interaction,"This paper advocates a novel integrated method to tightly couple simulation with analysis for the effective modeling and enhancement of scale-aware fluid details. It brings forth a suite of innovations in a unified framework, including depth-image-based space analysis for multi-scale detail detection, time-space analysis based on the logistic regression model that integrates both geometry and physics criteria, and depth-image-based sampling for quality-efficiency tradeoff. Our method contains an intertwined two-level processing architecture at its core. At the analysis level, we propose a rigorous time-space analysis model to pinpoint complex interacting regions, which can take into account multiple detailrelevant factors based on the depth-image sequence captured from FLIP-driven simulation sequence. At the simulation level, details are enhanced by animating extra diffuse materials, and augmenting the air-fluid mixing phenomenon. Directly benefitting from the flexibility of image-space-dominant processing, our unified framework can be entirely implemented on GPU, hence interactive performance could be guaranteed. Comprehensive experiments and evaluations on various diffuse phenomena (e.g., spray, foam, and bubble) have demonstrated its superiority in high-fidelity detail enhancement during fluid simulation and its interaction with surrounding environment for VR applications. © 2015 ACM."
13,Conference on Computational Natural Language Learning (CoNLL),2015,Adaptive level set for fluid surface tracking,"We introduce an adaptive hybrid level set surface tracking for fluid simulation in this paper. To improve the accuracy of the convectional level set method, we propose a method that combines the higher accuracy interpolation and octree grid to improve the accuracy while still maintain good efficiency. Adaptive gradient-augmented level set is adopted for higher accuracy interpolation and two strategies are proposed to guide the building of the octree structure. We demonstrate our method with several level set tests, and couple it to several existing fluid simulators. The results show that our method facilitates significant improvements in accuracy and efficiency, and is effective for free surface fluid simulation in capturing fluid details. © 2015 ACM."
14,Conference on Computational Natural Language Learning (CoNLL),2015,VR system for rehabilitation based on hand gestural and olfactory interaction,"The study of new systems for supporting upper limb rehabilitation is of primary importance, due to the high number of people in need of rehabilitation and the limited effectiveness of most of the current systems. The research work described in this paper proposes a VR system for upper-limb rehabilitation that is immersive, is based on hand gestures to interact with virtual objects, and which can deliver odours when a goal is reached. © 2015 ACM."
15,Conference on Computational Natural Language Learning (CoNLL),2015,A real time haptic simulator of spine surgeries,"Spine surgeries are high risk operations which require the surgeons to have ample experiences. For young surgeons, effective and extensive training is critical. This paper presents a real time haptic spine surgical simulator that will be used to train residents, fellows and spine surgeons in a hospital training program. It provides a realistic environment for the trainees to practice spine surgeries and has the advantages of being interactive, low-cost, representative, and repeatable over conventional training approaches. Haptic Phantom offers the users force feedback, differentiating our system from other screen-based training systems. Computational efficiency was achieved by developing advanced graphical rendering methods. The volumetric data was classified into surface voxel cloud and inner voxel cloud by the adjacency graph which stored the relationship among voxels. To speed up the collision detection and real time rendering between the virtual surgical tools and the lumbar model, Octree-based algorithms and GPU technique were applied. To enhance the physical realism, three dimensional lumbar vertebrae models were reconstructed from CT images and associated with non-homogeneous bone density such that the rendered model best represents the spine anatomy and mechanics. We demonstrate system performance by conducting pedicle screw insertion. © 2015 ACM."
