,conference,year,title,abstract
0,Graphics Interface Conference,2015,A pausible bisynchronous FIFO for GALS systems,"Many of the challenges of modern SoC design can be mitigated or eliminated with globally asynchronous, locally synchronous (GALS) design techniques. Partitioning a design into many synchronous islands introduces myriad asynchronous boundary crossings which typically incur high latency. We have designed a pausible bisynchronous FIFO that achieves low interface latency with a pausible clocking scheme. While traditional synchronizers have a non-zero probability of metastability and error, pausible clocking enables error-free operation by permitting infrequent slowdowns in the clock rate. Unlike prior pausible synchronizers, our circuit employs standard two-ported synchronous FIFOs, common circuit elements that integrate well with standard toolflows. The pausible bisynchronous FIFO achieves an average latency of 1.34 cycles across an asynchronous interface while using less energy and area than traditional synchronizers. © 2015 IEEE."
1,Graphics Interface Conference,2015,How to synchronize a pausible clock to a reference,"Pausible clocking is an efficient means for metastability free communication in heterochronous GALS systems. State-of-the-art implementations are based on ring oscillators, which suffer from bad frequency stability and accuracy. Building a stable pausible clock by simply switching a crystal based clock source, on the other hand, has been shown to incur metastability issues, thus rendering pausible clocking no better than a conventional synchronizer approach. In this paper we propose a solution that provides the stability and accuracy of a crystal based clock while still being free from metastable upsets. It is based on a ring oscillator that can be paused and resumed just like in the traditional approach, but is synchronized with a crystal clock during its stable phases of operation. We will present an appropriate circuit implementation and carefully analyze its operation. We will give evidence that the circuit switches on and off as fast as the traditional one, and that the clock output does not suffer from metastable voltage or spurious pulses at any time. © 2015 IEEE."
2,Graphics Interface Conference,2015,"A low-latency, energy-efficient L1 cache based on a self-timed pipeline","The design of a low latency, energy-efficient selftimed L1 cache is presented. The pipeline integrates Octasic's token-based architecture and a two-phase handshake protocol derived from Click elements. Only standard flip-flops are used as state-holding elements for the pipeline control and datapath. Simulations and post-layout static timing analysis were based on a commercial 28nm bulk process. Power analysis indicates a 20% improvement in energy efficiency when compared to the previous synchronous cache for the same throughput and area. © 2015 IEEE."
3,Graphics Interface Conference,2015,Synchronizers and data flip-flops are different,"Careful synchronizer design is imperative as System-on-Chip (SoC) products become prevalent in safetycritical applications. Previously, use of a flip-flop optimized for data applications was adequate for most synchronizer uses when laid out as a two-stage design. Increased demands for both reliability and low-power have exposed this two-stage solution to misuse. The recognition that a synchronizer should be optimized differently from a data flip-flop opens the design space to new approaches. Some examples are presented and two aides to the process are introduced. © 2015 European Union."
4,Graphics Interface Conference,2015,Blade - A timing violation resilient asynchronous template,"Resilient designs offer the promise to remove increasingly large margins due to process, voltage, and temperature variations and take advantage of average-case data. However, proposed synchronous resilient schemes have either suffered from metastability or require modifying the architecture to add replay based logic that recovers from timing errors, which leads to high timing error penalties and poses a design challenge in modern processors. This paper presents an asynchronous bundled-data resilient template called Blade that is robust to metastability issues, requires no replay-based logic, and has low timing error penalties. The template is supported by an automated design flow that synthesizes synchronous RTL designs to gate-level asynchronous Blade designs. The benefits of this flow are illustrated on Plasma, a 3-stage OpenCore MIPS CPU. Our results demonstrate that a nominal area overhead of the asynchronous template of less than 10% leads to a 19% performance boost over the synchronous design due to average-case data and a 30-40% improvement when synchronous PVT margins are considered. © 2015 IEEE."
5,Graphics Interface Conference,2015,Design and verification of speed-independent multiphase buck controller,"Power regulators and converters impose high requirements on the latency and resilience of their control circuitry. In this paper we design a speed-independent multiphase buck controller based on a novel lazy token ring architecture, that allows overlapping the charging cycles of multiple phases as well as simultaneous activation of all phases to handle the sudden power demand. The advantages over traditional synchronous designs include reliable handling of asynchronous inputs from sensors, low-latency reaction to the changes in power demand (undervoltage, over-current, zero-crossing and high-load conditions), and more balanced utilisation of charging phases. The essential correctness properties of the developed controller have been formally verified, and the whole buck has been validated in the industrial settings using exhaustive simulation. © 2015 IEEE."
6,Graphics Interface Conference,2015,"DD1: A QDI, radiation-hard-by-design, near-threshold 18uW/MIPS microcontroller in 40nm bulk CMOS","This paper describes DD1, an asynchronous radiation-hard 8-bit AVR® microcontroller (MCU) implemented in TSMC 40LP, a low-power bulk 40nm CMOS process. Designed for extreme reliability, DD1 uses quasi-delay-insensitive (QDI) asynchronous logic and contains full-custom radiation hard memories and logic cells. The chip was found fully functional on first silicon over a range of operating voltages from near-threshold (500mV) to above the nominal V DD (1.1V). It qualifies as both ultra-low power (<100μW/MHz) and radiationhard by design. At 550mV the MCU operates at 1MIPS with a power consumption of 18μW/MIPS. At 1.1V it runs at 20MIPS consuming 75μW/MIPS (1.5mW total). After extensive testing, it was found to be total-dose and latch-up immune and has an upset immunity of 2E-6 SEE/device-day (CREME96 geosynchronous near-earth orbit). © 2015 IEEE."
7,Graphics Interface Conference,2015,Timing driven placement for quasi delay-insensitive circuits,"Asynchronous circuits offer promise in handling current and future technology scaling challenges. Unfortunately, their impact has been limited by the lack of design automation. We present A-NTUPLACE, a timing-driven placer uniquely suited to handling quasi delay-insensitive circuits. Our tool uses a generalization of repetitive event rule systems to identify critical signal transitions. The cell placement engine, based on a leading academic placer, NTUPlace3, incorporates net weights to minimize critical wirelengths as well as a novel balancing scheme to ensure isochronic fork constraints are met. We show that our placer is effective at both prioritizing selected nets and balancing forks, demonstrating improvements in 3 of our 4 benchmarks. © 2015 IEEE."
8,Graphics Interface Conference,2015,Gate sizing and Vth assignment for asynchronous circuits using Lagrangian relaxation,"Gate sizing and threshold voltage selection is an important step in the VLSI physical design process to help reduce power consumption and improve circuit performance. Recent asynchronous design flows try to directly leverage synchronous EDA tools to select gates, which have a lot of limitations due to the intrinsic difference between asynchronous and synchronous circuits. This paper presents a new simultaneous gate sizing and Vth assignment approach for asynchronous designs. We formulate the asynchronous gate version selection problem considering both leakage power consumption and cycle time. Then, the optimization is performed based on a Lagrangian relaxation framework. A fast and effective slew updating strategy is also proposed to address the timing-loops of asynchronous circuits during static timing analysis. Our approach is evaluated using a set of asynchronous designs based on the pre-charged half buffer (PCHB) template and compared with the Proteus asynchronous design flow which is leveraging synchronous EDA tools. The experiments show our approach can achieve much better quality results in terms of both leakage power and cycle time compared with the other approach. © 2015 IEEE."
9,Graphics Interface Conference,2015,Performance optimization and analysis of blade designs under delay variability,"As manufacturing processes continue to shrink and supply voltages drop, timing margins due to increased process, temperature, and voltage variability become a significant portion of the clock period. An asynchronous bundled data resilient template called Blade has recently been proposed to curb these margins and thereby outperform synchronous alternatives. This paper proposes a model to analyze the performance of Blade designs and an approach to optimize it. We validate the model against gate-level simulations of a resilient 3-stage MIPS CPU implemented with Blade and use it to compare the optimal performance of Blade designs with synchronous alternatives. The results show that Blade offers up to 44% higher performance than traditional designs and 23% higher performance than Bubble Razor, the synchronous resiliency strategy with the highest reported performance. © 2015 IEEE."
