,conference,year,title,abstract
0,IEEE Pacific Visualization Symposium,2015,None,None
1,IEEE Pacific Visualization Symposium,2015,None,None
2,IEEE Pacific Visualization Symposium,2015,None,None
3,IEEE Pacific Visualization Symposium,2015,None,None
4,IEEE Pacific Visualization Symposium,2015,None,None
5,IEEE Pacific Visualization Symposium,2015,None,None
6,IEEE Pacific Visualization Symposium,2015,None,None
7,IEEE Pacific Visualization Symposium,2015,None,None
8,IEEE Pacific Visualization Symposium,2015,None,None
9,IEEE Pacific Visualization Symposium,2015,None,None
10,IEEE Pacific Visualization Symposium,2015,None,None
11,IEEE Pacific Visualization Symposium,2015,None,None
12,IEEE Pacific Visualization Symposium,2015,None,None
13,IEEE Pacific Visualization Symposium,2015,None,None
14,IEEE Pacific Visualization Symposium,2015,None,None
15,IEEE Pacific Visualization Symposium,2015,None,None
16,IEEE Pacific Visualization Symposium,2015,None,None
17,IEEE Pacific Visualization Symposium,2015,None,None
18,IEEE Pacific Visualization Symposium,2015,None,None
19,IEEE Pacific Visualization Symposium,2015,None,None
20,IEEE Pacific Visualization Symposium,2015,None,None
21,IEEE Pacific Visualization Symposium,2015,None,None
22,IEEE Pacific Visualization Symposium,2015,None,None
23,IEEE Pacific Visualization Symposium,2015,None,None
24,IEEE Pacific Visualization Symposium,2015,None,None
25,IEEE Pacific Visualization Symposium,2015,None,None
26,IEEE Pacific Visualization Symposium,2015,None,None
27,IEEE Pacific Visualization Symposium,2015,None,None
28,IEEE Pacific Visualization Symposium,2015,None,None
29,IEEE Pacific Visualization Symposium,2015,None,None
30,IEEE Pacific Visualization Symposium,2015,None,None
31,IEEE Pacific Visualization Symposium,2015,None,None
32,IEEE Pacific Visualization Symposium,2015,None,None
33,IEEE Pacific Visualization Symposium,2015,None,None
34,IEEE Pacific Visualization Symposium,2015,None,None
35,IEEE Pacific Visualization Symposium,2015,None,None
36,IEEE Pacific Visualization Symposium,2015,None,None
37,IEEE Pacific Visualization Symposium,2015,None,None
38,IEEE Pacific Visualization Symposium,2015,None,None
39,IEEE Pacific Visualization Symposium,2015,None,None
40,IEEE Pacific Visualization Symposium,2015,None,None
41,IEEE Pacific Visualization Symposium,2015,None,None
42,IEEE Pacific Visualization Symposium,2015,None,None
43,IEEE Pacific Visualization Symposium,2015,None,None
44,IEEE Pacific Visualization Symposium,2015,None,None
45,IEEE Pacific Visualization Symposium,2015,None,None
46,IEEE Pacific Visualization Symposium,2015,None,None
47,IEEE Pacific Visualization Symposium,2015,None,None
48,IEEE Pacific Visualization Symposium,2015,None,None
49,IEEE Pacific Visualization Symposium,2015,None,None
50,IEEE Pacific Visualization Symposium,2015,None,None
51,IEEE Pacific Visualization Symposium,2015,None,None
52,IEEE Pacific Visualization Symposium,2015,None,None
53,IEEE Pacific Visualization Symposium,2015,None,None
54,IEEE Pacific Visualization Symposium,2015,None,None
55,IEEE Pacific Visualization Symposium,2015,None,None
56,IEEE Pacific Visualization Symposium,2015,None,None
57,IEEE Pacific Visualization Symposium,2015,None,None
58,IEEE Pacific Visualization Symposium,2015,None,None
59,IEEE Pacific Visualization Symposium,2015,None,None
60,IEEE Pacific Visualization Symposium,2015,None,None
61,IEEE Pacific Visualization Symposium,2015,None,None
62,IEEE Pacific Visualization Symposium,2015,None,None
63,IEEE Pacific Visualization Symposium,2015,None,None
64,IEEE Pacific Visualization Symposium,2015,None,None
65,IEEE Pacific Visualization Symposium,2015,None,None
66,IEEE Pacific Visualization Symposium,2015,None,None
67,IEEE Pacific Visualization Symposium,2015,None,None
68,IEEE Pacific Visualization Symposium,2015,None,None
69,IEEE Pacific Visualization Symposium,2015,None,None
70,IEEE Pacific Visualization Symposium,2015,None,None
71,IEEE Pacific Visualization Symposium,2015,None,None
72,IEEE Pacific Visualization Symposium,2015,None,None
73,IEEE Pacific Visualization Symposium,2015,None,None
74,IEEE Pacific Visualization Symposium,2015,None,None
75,IEEE Pacific Visualization Symposium,2015,None,None
76,IEEE Pacific Visualization Symposium,2015,None,None
77,IEEE Pacific Visualization Symposium,2015,None,None
78,IEEE Pacific Visualization Symposium,2015,None,None
79,IEEE Pacific Visualization Symposium,2015,None,None
80,IEEE Pacific Visualization Symposium,2015,None,None
