,conference,year,title,abstract
0,International Conference on Computational Linguistics (COLING),2015,A new sharp-crease bending element for folding and wrinkling surfaces and volumes,"We present a novel sharp-crease bending element for the folding and wrinkling of surfaces and volumes. Based on a control curve specified by an artist or derived from internal stresses of a simulation, we create a piecewise linear curve at the resolution of the computational mesh. Then, the key idea is to cut the object along the curve using the virtual node algorithm creating new degrees of freedom, while subsequently reattaching the resulting pieces eliminating the translational degrees of freedom so that adjacent pieces may only rotate or bend about the cut. Motivated by an articulated rigid body framework, we utilize the concepts of pre-stabilization and post-stabilization in order to enforce these reattachment constraints. Our cuts can be made either razor sharp or relatively smooth via the use of bending springs. Notably, our sharp-crease bending elements can not only be used to create pleats in cloth or folds in paper but also to create similar buckling in volumetric objects. We illustrate this with examples of forehead wrinkles and nasolabial folds for facial animation. Moreover, our sharp-crease bending elements re-quire minimal extra simulation time as compared to the underlying mesh, and tend to reduce simulation times by an order of magnitude when compared to the alternative of mesh refinement."
1,International Conference on Computational Linguistics (COLING),2015,Real-time dynamic wrinkling of coarse animated cloth,"Dynamic folds and wrinkles are an important visual cue for creating believably dressed characters in virtual environments. Adding these fine details to real-time cloth visualization is challenging, as the low-quality cloth used for real-time applications often has no reference shape, an extremely low triangle count, and poor temporal and spatial coherence. We introduce a novel real-time method for adding dynamic, believable wrinkles to such coarse cloth animation. We trace spatially and temporally coherent wrinkle paths, overcoming the inaccuracies and noise in low-end cloth animation, by employing a two stage stretch tensor estimation process. We first employ a graph-cut segmentation technique to extract spatially and temporally reliable surface motion patterns, detecting consistent compressing, stable, and stretching patches. We then use the detected motion patterns to compute a per-triangle temporally adaptive reference shape and a stretch tensor based on it. We use this tensor to dynamically generate new wrinkle geometry on the coarse cloth mesh by taking advantage of the GPU tessellation unit. Our algorithm produces plausible fine wrinkles on real-world data sets at real-time frame rates, and is suitable for the current generation of consoles and PC graphics cards. © 2015 ACM."
2,International Conference on Computational Linguistics (COLING),2015,Multifarious hierarchies of mechanical models for artist assigned levels-of-detail,"We present a new framework for artist driven level of detail in solid simulations. Simulated objects are simultaneously embedded in several, separately designed deformation models with their own independent degrees of freedom. The models are ordered to apply their deformations hierarchically, and we enforce the uniqueness of the dynamics solutions using a novel kinetic filtering operator designed to ensure that each child only adds detail motion to its parent without introducing redundancies. This new approach allows artists to easily add fine-scale details without introducing unnecessary degrees-of-freedom to the simulation or resorting to complex geometric operations like anisotropic volume meshing. We illustrate the utility of our approach with several detail enriched simulation examples. © 2015 ACM."
3,International Conference on Computational Linguistics (COLING),2015,Effect of appearance on perception of deformation,"We provide an experimental validation that appearance of an object can influence the perception of its level of deformation in a 3D simulation. Our study provides helpful insights in how to improve visual plausibility of deformation, which may allow artists to adjust their designs to enhance or minimize the perceived deformation in a model. We use a physically-based deformation model to simulate simple geometric shapes undergoing deformation. We apply a number of different appearance and rendering parameters to these objects, and then use two user studies to measure whether appearance used for an object can have a statistically significant effect on the perception of its deformation. In another study, we adjust the number of objects simulated and investigate how this can influence the effect of appearance. We find that appearance can potentially influence people's sensitivity to differences of deformation as well as subjective rating of softness in our studies. Further analysis shows that, in simple scenarios, the effect of low-level cues in appearance can be dominant, even if high-level information delivered by appearance has the opposite implication. The third study shows that as the number of objects in a scenario increases, objects are perceived to be stiffer. Also, the effect of low-level cues is weaker. © 2015 ACM."
4,International Conference on Computational Linguistics (COLING),2015,"Fully momentum-conserving reduced deformable bodies with collision, contact, articulation, and skinning","We propose a novel framework for simulating reduced deformable bodies that fully accounts for linear and angular momentum conservation even in the presence of collision, contact, articulation, and other desirable effects. This was motivated by the observation that the mere excitation of a single mode in a reduced degree of freedom model can adversely change the linear and angular momentum. Although unexpected changes in linear momentum can be avoided during basis construction, adverse changes in angular momentum appear unavoidable, and thus we propose a robust framework that includes the ability to compensate for them. Enabled by this ability to fully account for linear and angular momentum, we introduce an impulse-based formulation that allows us to precisely control the velocity of any node in spite of the fact that we only have access to a lower-dimensional set of degrees of freedom. This allows us to model collision, contact, and articulation in a robust and high visual fidelity manner, especially when compared to penalty-based forces that merely aim to coerce local velocities. In addition, we propose a new ""deformable bones"" framework wherein we leverage standard skinning technology for ""bones, "" ""bone"" placement, blending operations, etc. even though each of our ""deformable bones"" is a fully simulated reduced deformable model."
5,International Conference on Computational Linguistics (COLING),2015,Efficient simulation of knitted cloth using persistent contacts,"Knitted cloth is made of yarns that are stitched in regular patterns, and its macroscopic behavior is dictated by the contact interactions between such yarns. We propose an efficient representation of knitted cloth at the yarn level that treats yarn-yarn contacts as persistent, thereby avoiding expensive contact handling altogether. We introduce a compact representation of yarn geometry and kinematics, capturing the essential deformation modes of yarn loops and stitches with a minimum cost. Based on this representation, we design force models that reproduce the characteristic macroscopic behavior of knitted fabrics. We demonstrate the efficiency of our method on simulations with millions of degrees of freedom (hundreds of thousands of yarn loops), almost one order of magnitude faster than previous techniques. © 2015 ACM."
6,International Conference on Computational Linguistics (COLING),2015,Hands on: Interactive animation of precision manipulation and contact,"Humans show effortless dexterity while manipulating objects using their own hands. However, specifying the motion of a virtual character's hand or of a robotic manipulator remains a difficult task that requires animation expertise or extensive periods of offline motion capture. We present Hands On: a real-time, adaptive animation interface, driven by compliant contact and force information, for animating contact and precision manipulations of virtual objects. Using our interface, an animator controls an abstract grasper trajectory while the full hand pose is automatically shaped by proactive adaptation and compliant scene interactions. Haptic force feedback enables intuitive control by mapping interaction forces from the full animated hand back to the reduced animator feedback space, invoking the same human sensorimotor processes utilized in natural precision manipulations. We provide an approach for online, adaptive shaping of the animated manipulator based on prior interactions, resulting in more functional and appealing motions. The importance of haptic feedback for authoring virtual object manipulations is verified in a user study with nonexpert participants that examines contact force trajectories while using our interface. Comparing the quality of motions produced with and without force rendering, haptic feedback is shown to be critical for efficiently communicating contact forces and dynamic events to the user."
7,International Conference on Computational Linguistics (COLING),2015,Hierarchical planning and control for complex motor tasks,"We present a planning and control framework that enables physically simulated characters to perform various types of motor tasks. To create physically-valid motion plans, our method uses a hierarchical set of simplified models. Computational resources are therefore focused where they matter most: motion plans for the immediate future are generated using higher-fidelity models, while coarser models are used to create motion plans with longer time horizons. Our framework can be used for different types of motor skills, including ones where the actions of the arms and legs must be precisely coordinated. We demonstrate controllers for tasks such as getting up from a chair, crawling onto a raised platform, or using a handrail while climbing stairs. All of the motions are simulated using a black-box physics engine from high level user commands, without requiring any motion capture data. © 2015 ACM."
8,International Conference on Computational Linguistics (COLING),2015,Learning reduced-order feedback policies for motion skills,"We introduce a method for learning low-dimensional linear feedback strategies for the control of physics-based animated characters around a given reference trajectory. This allows for learned low-dimensional state abstractions and action abstractions, thereby reducing the need to rely on manually designed abstractions such as the center-of-mass state or foot-placement actions. Once learned, the compact feedback structure allow simulated characters to respond to changes in the environment and changes in goals. The approach is based on policy search in the space of reduced-order linear output feedback matrices. We show that these can be used to replace or further reduce manually-designed state and action abstractions. The approach is sufficiently general to allow for the development of unconventional feedback loops, such as feedback based on ground reaction forces. Results are demonstrated for a mix of 2D and 3D systems, including tilting-platform balancing, walking, running, rolling, targeted kicks, and several types of ballhitting tasks."
9,International Conference on Computational Linguistics (COLING),2015,Computational design of walking automata,"Creating mechanical automata that can walk in stable and pleasing manners is a challenging task that requires both skill and expertise. We propose to use computational design to offset the technical difficulties of this process. A simple drag-and-drop interface allows casual users to create personalized walking toys from a library of pre-defined template mechanisms. Provided with this input, our method leverages physical simulation and evolutionary optimization to refine the mechanical designs such that the resulting toys are able to walk. The optimization process is guided by an intuitive set of objectives that measure the quality of the walking motions. We demonstrate our approach on a set of simulated mechanical toys with different numbers of legs and various distinct gaits. Two fabricated prototypes showcase the feasibility of our designs. © 2015 ACM."
