,conference,year,title,abstract
0,International Conference on Computational Linguistics and Intelligent Text Processing,2015,Integrating WebRTC and X3DOM: Bridging the gap between communications and graphics,"In recent years, with the emergence of HTML5, the Web has managed to evolve from an Internet application for information announcement and exchange to a toolkit provided for pervasive, ubiquitous and collaborative services. In this context, the Web can ultimately provide Real-Time Communication (RTC) services between browsers via the Internet. WebRTC is the standardized project that provides browsers and mobile applications with RTC capabilities via simple JavaScript APIs. This opens new horizons in web-based applications such as capabilities for online gaming, support for complicated 3D graphics in real-time, videoconferencing, exchanging of text messages, immersive technology, etc. In this paper, we introduce the integration of WebRTC capabilities within virtual 3D worlds and present several implementations that bridge WebRTC and X3DOM technologies. In the applications we have developed, virtual 3D collaborative environments are provided for the cooperation of web peers at real time, while they are able to manipulate a 3D scene without the use of plugins. In this context, an online educational game and an immersive conference tool supporting all types of real-time communication such as video chat, text messaging and the use of social media, both using WebRTC over X3DOM, are presented and thoroughly discussed. © 2015 ACM."
1,International Conference on Computational Linguistics and Intelligent Text Processing,2015,Evaluating 3D thumbnails for virtual object galleries,"Virtual 3D object galleries on the Web nowadays often use realtime, interactive 3D graphics. However, this does usually still not hold for their preview images, sometimes referred to as thumbnails. We provide a technical analysis on the applicability of so-called 3D thumbnails within the context virtual 3D object galleries. Like a 2D thumbnail for an image, a 3D thumbnail acts as a compact preview for a real 3D model. In contrast to an image series, however, it enables a wider variety of interaction methods and rendering effects. By performing a case study, we show that such true 3D representations are, under certain circumstances, even able to outperform 2D image series in terms of bandwidth consumption. We thus present a complete pipeline for generating compact 3D thumbnails for given meshes in a fully automatic fashion. © 2015 ACM."
2,International Conference on Computational Linguistics and Intelligent Text Processing,2015,X3D Distributed Interactive Simulation (DIS) implementation and run-time discovery of new entities using X3DOM,"New capabilities in web browser JavaScript implementations including networking, improved graphics performance, and improved speed allow the implementation of Networked Virtual Environments (NVEs) inside the web browser. An NVE can be written in JavaScript, which enables deployment in the enterprise entirely from a web server without the use of browser plugins. We discuss one implementation of this idea using X3DOM, an opensource implementation of the X3D standard written in JavaScript. The Open-DIS library for the IEEE Distributed Interactive Simulation (DIS) network protocol is used to create a partial implementation of the X3D standard's DIS profile. Mechanisms for using the X3D DIS Profile DISEntityTypeMapping and DISEntityManager to enable run-time discovery and launching of new entities are discussed. Measurements of the capabilities and performance aspects of Websockets for network transport demonstrate excellent results."
3,International Conference on Computational Linguistics and Intelligent Text Processing,2015,"The X3D geospatial component: X3DOM implementation of GeoOrigin, GeoLocation, geoviewpoint, and GeoPositionInterpolator nodes","We present new implementations of important X3D nodes which enable a large class of geospatial applications in standard web browsers. We have chosen the freely available X3DOM code base as an implementation framework since it provides a very functional set of X3D nodes along with a broad selection of support functionality. In our implementations of the GeoOrigin, GeoLocation, GeoViewpoint and GeoPositionInterpolator nodes, we fully conform to the ISO specification and use well known example scenes as references for correctness. While GeoOrigin is deprecated in version 3.3 of the specification, we demonstrate that limited precision in the WebGL rendering pipeline still makes its use desirable at least until alternative solutions are formalized and coded. GeoLocation and GeoViewpoint nodes require specific alignments of coordinate systems which we document in detail. In addition, GeoViewpoint has the property to control navigation speed which conceptually conflicts with user speed control. We resolve this conflict by using relative speed and also make this control optional. Somewhat terse language in the GeoPositionInterpolator specification required clarification of its existing usage and inspired an option for coordinate interpolation along great circles which is often the expected interpolation path in global scenes. Finally, all functionality was integrated into current, stable releases of the X3DOM distribution available from www.x3dom.org. © 2015 ACM."
4,International Conference on Computational Linguistics and Intelligent Text Processing,2015,"WebVis/instant3DHub - Visual Computing as a Service infrastructure to deliver adaptive, secure and scalable user centric data visualisation","This paper presents the webVis/instant3DHub platform, which combines a novel Web-Components based framework and a Visual Computing as a Service infrastructure to deliver an interactive 3D data visualisation solution. The system focuses on minimising resource consumption, while maximising the end-user experience. It utilises an adaptive and automated combination of client, server and hybrid visualisation techniques, while orchestrating transmission, caching and rendering services to deliver structural and semantically complex data sets on any device class and network architecture. The API and Web Component framework allow the application developer to compose and manipulate complex data setups with a simple set of commands inside the browser, without requiring knowledge about the underlying service infrastructure, interfaces and the fully automated processes. This results in a new class of interactive applications, built around a canvas for real-time visualisation of massive data sets. © 2015 ACM."
5,International Conference on Computational Linguistics and Intelligent Text Processing,2015,X3D sensor-based thermal maps for residential and commercial buildings,"There are many building energy simulation systems on the market today; however, most of them rely on theoretical thermal models to make decisions on the building structural design and modifications. Sustainable methods of construction have made tremendous progress in the recent decades. The example of the German Energy-Plus-House technology uses a combination of (almost) zero-carbon passive heating technologies. A webenabled X3D simulation system coupled with a cost-effective set of temperature/humidity sensors can provide valuable insights into building design, materials and construction that can lead to significant energy savings, an improved thermal comfort for residents and improved efficiency. We propose a cost effective hardware-software prototype system that can provide real data driven 3D thermal maps for residential buildings. The system can easily scale to provide 3D thermal maps for large commercial buildings. © 2015 ACM."
6,International Conference on Computational Linguistics and Intelligent Text Processing,2015,None,None
7,International Conference on Computational Linguistics and Intelligent Text Processing,2015,Volumetric texture data compression scheme for transmission,"We present a texture data compression technique for transmission of volumetric weather radar data. High resolution volume rendering of such time varying volumetric data sets requires large size and number of texture files. In case of WebGL based volume rendering on web browsers, performance problems occur due to the latencies associated with loading of 3D assets, especially transmission of huge texture files. Existing compression technique can help to solve this problem. The most relevant work is S3TC texture compression. As an advanced compression scheme, we combine the S3TC compression method with efficient encoding of volume data in the RGBA channels of an image followed by DEFLATE compression to further reduce the file size. We show how this optimized scheme with X3D/X3DOM extensions fits into our weather data visualization application requirements and provide experimental results. © 2015 ACM."
8,International Conference on Computational Linguistics and Intelligent Text Processing,2015,None,None
9,International Conference on Computational Linguistics and Intelligent Text Processing,2015,Webized 3D experience by HTML5 annotation in 3D Web,"With the development of 3D Web technologies, 3D objects are now handled as embedded objects without plug-ins on web pages. Although declarative 3D objects are physically integrated into web pages, 3D objects and HTML elements are still separated from the perspective of the 3D layout context, and an annotation method is lacking. Thus it is scarcely possible to add meaningful annotations related to target 3D objects using existing web resources. In addition, people often lose the relationship between the target and related annotation objects in a 3D context due to the separation of the content layouts in different 3D contexts. In this paper, we propose a webizing method for annotating user experiences with 3D objects in a 3D Web environment. The relationship between the 3D target object and the annotation object is declared by means of web annotations and these related objects are rendered with a common 3D layout context and a camera perspective. We present typical cases of 3D scenes with web annotations on the 3D Web using a prototype implementation system to verify the usefulness of our approach. © 2015 ACM."
