,conference,year,title,abstract
0,International Conference on Language Resources and Evaluation (LREC),2015,None,None
1,International Conference on Language Resources and Evaluation (LREC),2015,None,None
2,International Conference on Language Resources and Evaluation (LREC),2015,None,None
3,International Conference on Language Resources and Evaluation (LREC),2015,None,None
4,International Conference on Language Resources and Evaluation (LREC),2015,None,None
5,International Conference on Language Resources and Evaluation (LREC),2015,None,None
6,International Conference on Language Resources and Evaluation (LREC),2015,None,None
7,International Conference on Language Resources and Evaluation (LREC),2015,None,None
8,International Conference on Language Resources and Evaluation (LREC),2015,None,None
9,International Conference on Language Resources and Evaluation (LREC),2015,None,None
10,International Conference on Language Resources and Evaluation (LREC),2015,None,None
11,International Conference on Language Resources and Evaluation (LREC),2015,None,None
12,International Conference on Language Resources and Evaluation (LREC),2015,None,None
13,International Conference on Language Resources and Evaluation (LREC),2015,None,None
14,International Conference on Language Resources and Evaluation (LREC),2015,None,None
15,International Conference on Language Resources and Evaluation (LREC),2015,None,None
16,International Conference on Language Resources and Evaluation (LREC),2015,None,None
17,International Conference on Language Resources and Evaluation (LREC),2015,None,None
18,International Conference on Language Resources and Evaluation (LREC),2015,None,None
19,International Conference on Language Resources and Evaluation (LREC),2015,None,None
20,International Conference on Language Resources and Evaluation (LREC),2015,None,None
21,International Conference on Language Resources and Evaluation (LREC),2015,None,None
22,International Conference on Language Resources and Evaluation (LREC),2015,None,None
23,International Conference on Language Resources and Evaluation (LREC),2015,None,None
24,International Conference on Language Resources and Evaluation (LREC),2015,None,None
25,International Conference on Language Resources and Evaluation (LREC),2015,None,None
26,International Conference on Language Resources and Evaluation (LREC),2015,None,None
27,International Conference on Language Resources and Evaluation (LREC),2015,None,None
28,International Conference on Language Resources and Evaluation (LREC),2015,None,None
29,International Conference on Language Resources and Evaluation (LREC),2015,None,None
30,International Conference on Language Resources and Evaluation (LREC),2015,None,None
31,International Conference on Language Resources and Evaluation (LREC),2015,None,None
32,International Conference on Language Resources and Evaluation (LREC),2015,None,None
33,International Conference on Language Resources and Evaluation (LREC),2015,None,None
34,International Conference on Language Resources and Evaluation (LREC),2015,None,None
35,International Conference on Language Resources and Evaluation (LREC),2015,None,None
36,International Conference on Language Resources and Evaluation (LREC),2015,None,None
37,International Conference on Language Resources and Evaluation (LREC),2015,None,None
38,International Conference on Language Resources and Evaluation (LREC),2015,None,None
