,conference,year,title,abstract
0,International Joint Conference on Artificial Intelligence (IJCAI),2015,Optimal incremental preference elicitation during negotiation,"The last two decades have seen a growing interest in the development of automated agents that are able to negotiate on the user's behalf. When representing a user in a negotiation, it is essential for the agent to understand the user's preferences, without exposing them to elicitation fatigue. To this end, we propose a new model in which a negotiating agent may incrementally elicit the user's preference during the negotiation. We introduce an optimal elicitation strategy that decides, at every stage of the negotiation, how much additional user information to extract at a certain cost. Finally, we demonstrate the effectiveness of our approach by combining our policy with well-known negotiation strategies and show that it significantly outperforms other elicitation strategies."
1,International Joint Conference on Artificial Intelligence (IJCAI),2015,Composing and verifying commitment-based multiagent protocols,"We consider the design and enactment of multiagent protocols that describe collaboration using ""normative"" or ""social"" abstractions, specifically, commitments. A (multiagent) protocol defines the relevant social states and how they progress; each participant maintains a local projection of these states and acts accordingly. Protocols expose two important challenges: (1) how to compose them in a way that respects commitments and (2) how to verify the compliance of the parties with the social states. Individually, these challenges are inadequately studied and together not at all. We motivate the notion of a social context to capture how a protocol may be enacted. A protocol can be verifiably enacted when its participants can determine each other's compliance. We first show the negative result that even when protocols can be verifiably enacted in respective social contexts, their composition cannot be verifiably enacted in the composition of those social contexts. We next show how to expand such a protocol so that it can be verifiably enacted. Our approach involves design rules to specify composite protocols so they would be verifiably enactable. Our approach demonstrates a use of dialectical commitments, which have previously been overlooked in the protocols literature."
2,International Joint Conference on Artificial Intelligence (IJCAI),2015,Strategic abstention based on preference extensions: Positive results and computer-generated impossibilities,"Voting rules are powerful tools that allow multiple agents to aggregate their preferences in order to reach joint decisions. A common flaw of some voting rules, known as the no-show paradox, is that agents may obtain a more preferred outcome by abstaining from an election. We study strategic abstention for set-valued voting rules based on Kelly's and Fishburn's preference extensions. Our contribution is twofold. First, we show that, whenever there are at least five alternatives, every Paretooptimal majoritarian voting rule suffers from the no-show paradox with respect to Fishburn's extension. This is achieved by reducing the statement to a finite - yet very large - problem, which is encoded as a formula in propositional logic and then shown to be unsatisfiable by a SAT solver. We also provide a human-readable proof which we extracted from a minimal unsatisfiable core of the formula. Secondly, we prove that every voting rule that satisfies two natural conditions cannot be manipulated by strategic abstention with respect to Kelly's extension. We conclude by giving examples of well-known Pareto-optimal majoritarian voting rules that meet these requirements."
3,International Joint Conference on Artificial Intelligence (IJCAI),2015,Efficiency and complexity of price competition among single-product vendors,"Motivated by recent progress on pricing in the AI literature, we study marketplaces that contain multiple vendors offering identical or similar products and unit-demand buyers with different valuations on these vendors. The objective of each vendor is to set the price of its product to a fixed value so that its profit is maximized. The profit depends on the vendor's price itself and the total volume of buyers that find the particular price more attractive than the price of the vendor's competitors. We model the behaviour of buyers and vendors as a two-stage fullinformation game and study a series of questions related to the existence, efficiency (price of anarchy) and computational complexity of equilibria in this game. To overcome situations where equilibria do not exist or exist but are highly inefficient, we consider the scenario where some of the vendors are subsidized in order to keep prices low and buyers highly satisfied."
4,International Joint Conference on Artificial Intelligence (IJCAI),2015,Generalizing the single-crossing property on lines and trees to intermediate preferences on median graphs,"Demange (2012) generalized the classical singlecrossing property to the intermediate property on median graphs and proved that the representative voter theorem still holds for this more general framework. We complement her result with proving that the linear orders of any profile which is intermediate on a median graph form a Condorcet domain. We prove that for any median graph there exists a profile that is intermediate with respect to that graph and that one may need at least as many alternatives as vertices to construct such a profile. We provide a polynomial-time algorithm to recognize whether or not a given profile is intermediate with respect to some median graph. Finally, we show that finding winners for the Chamberlin Courant rule is polynomial-time solvable for profiles that are single-crossing on a tree."
5,International Joint Conference on Artificial Intelligence (IJCAI),2015,Learning behaviors in agents systems with interactive dynamic influence diagrams,"Interactive dynamic influence diagrams (I-DIDs) are a well recognized decision model that explicitly considers how multiagent interaction affects individual decision making. To predict behavior of other agents, I-DIDs require models of the other agents to be known ahead of time and manually encoded. This becomes a barrier to I-DID applications in a human-agent interaction setting, such as development of intelligent non-player characters (NPCs) in real-time strategy (RTS) games, where models of other agents or human players are often inaccessible to domain experts. In this paper, we use automatic techniques for learning behavior of other agents from replay data in RTS games. We propose a learning algorithm with improvement over existing work by building a full profile of agent behavior. This is the first time that data-driven learning techniques are embedded into the I-DID decision making framework. We evaluate the performance of our approach on two test cases."
6,International Joint Conference on Artificial Intelligence (IJCAI),2015,Structural results for cooperative decentralized control models,"The intractability in cooperative, decentralized control models is mainly due to prohibitive memory requirements in both optimal policies and value functions. The complexity analysis has emerged as the standard method to estimating the memory needed for solving a given computational problem, but complexity results may be somewhat limited. This paper introduces a general methodology - structural analysis - for the design of optimality-preserving concise policies and value functions, which will eventually lead to the development of efficient theory and algorithms. For the first time, we show that memory requirements for policies and value functions may be asymmetric, resulting in cooperative, decentralized control models with exponential reductions in memory requirements."
7,International Joint Conference on Artificial Intelligence (IJCAI),2015,Tractable inquiry in information-rich environments,"In the contemporary autonomous systems the role of complex interactions such as (possibly relaxed) dialogues is increasing significantly. In this paper we provide a paraconsistent and paracomplete implementation of inquiry dialogue under realistic assumptions regarding availability and quality of information. Various strategies for dealing with unsure and inconsistent information are analyzed. The corresponding dialogue outcomes are further evaluated against the (paraconsistent and paracomplete) distributed beliefs of the group. A specific 4-valued logic underpins the presented framework. Thanks to the qualities of the implementation tool: a rule-based query language 4QL, our solution is both expressive and tractable."
8,International Joint Conference on Artificial Intelligence (IJCAI),2015,An adaptive computational model for personalized persuasion,"While a variety of persuasion agents have been created and applied in different domains such as marketing, military training and health industry, there is a lack of a model which can provide a unified framework for different persuasion strategies. Specifically, persuasion is not adaptable to the individuals' personal states in different situations. Grounded in the Elaboration Likelihood Model (ELM), this paper presents a computational model called Model for Adaptive Persuasion (MAP) for virtual agents. MAP is a semi-connected network model which enables an agent to adapt its persuasion strategies through feedback. We have implemented and evaluated a MAP-based virtual nurse agent who takes care and recommends healthy lifestyle habits to the elderly. Our experimental results show that the MAP-based agent is able to change the others' attitudes and behaviors intentionally, interpret individual differences between users, and adapt to user's behavior for effective persuasion."
9,International Joint Conference on Artificial Intelligence (IJCAI),2015,Tradeoffs between incentive mechanisms in boolean games,"Two incentive mechanisms for Boolean games were proposed recently - taxation schemes and side payments. Both mechanisms have been shown to be able to secure a pure Nash equilibrium (PNE) for Boolean games. A complete characterization of outcomes that can be transformed to PNEs is given for each of the two incentive mechanisms. Side payments are proved to be a weaker mechanism in the sense that the outcomes that they can transform to PNEs are a subset of those transformable by taxation. A family of social-network-based Boolean games, which demonstrates the differences between the two mechanisms for securing a PNE, is presented. A distributed search algorithm for finding the side payments needed for securing a PNE is proposed. An empirical evaluation demonstrates the properties of the two mechanisms on the family of social-network-based Boolean games."
10,International Joint Conference on Artificial Intelligence (IJCAI),2015,None,None
11,International Joint Conference on Artificial Intelligence (IJCAI),2015,The power of local manipulation strategies in assignment mechanisms,"We consider three important, non-strategy proof assignment mechanisms: Probabilistic Serial and two variants of the Boston mechanism. Under each of these mechanisms, we study the agent's manipulation problem of determining a best response, i.e., a report that maximizes the agent's expected utility. In particular, we consider local manipulation strategies, which are simple heuristics based on local, greedy search. We make three main contributions. First, we present results from a behavioral experiment (conducted on Amazon Mechanical Turk) which demonstrate that human manipulation strategies can largely be explained by local manipulation strategies. Second, we prove that local manipulation strategies may fail to solve the manipulation problem optimally. Third, we show via large-scale simulations that despite this nonoptimality, these strategies are very effective on average. Our results demonstrate that while the manipulation problem may be hard in general, even cognitively or computationally bounded (human) agents can find near-optimal solutions almost all the time via simple local search strategies."
