,conference,year,title,abstract
0,International Joint Conference on Natural Language Processing (IJCNLP),2015,In situ depth maps based feature extraction and tracking,"Parallel numerical simulation is a powerful tool used by scientists to study complex problems. It has been a common practice to save the simulation output to disk and then conduct post-hoc in-depth analyses of the saved data. System I/O capabilities have not kept pace as simulations have scaled up over time, so a common approach has been to output only subsets of the data to reduce I/O. However, as we are entering the era of peta-and exa-scale computing, this sub-sampling approach is no longer acceptable because too much valuable information is lost. In situ visualization has been shown a promising approach to the data problem at extreme-scale. We present a novel in situ solution using depth maps to enable post-hoc image-based visualization and feature extraction and tracking. An interactive interface is provided to allow for fine-tuning the generation of depth maps during the course of a simulation run to better capture the features of interest. We use several applications including one actual simulation run on a Cray XE6 supercomputer to demonstrate the effectiveness of our approach. © 2015 IEEE."
1,International Joint Conference on Natural Language Processing (IJCNLP),2015,Tracking features in embedded surfaces: Understanding extinction in turbulent combustion,"Understanding the temporal evolution of features of interest requires the ability to: (i) extract features from each snapshot; (ii) correlate them over time; and (iii) understand the resulting tracking graph. This paper provides new solutions for the last two challenges in the context of large-scale turbulent combustion simulations. In particular, we present a simple and general algorithm to correlate hierarchical features, embedded in time-dependent surfaces. This, for the first time, provides a parameter independent approach to track embedded features. Furthermore, we provide a new technique to adaptively change feature parameters over time to both: alleviate artifacts due to insufficient temporal resolution as well as to simplify the resulting tracking graphs to promote new scientific insights. Our solutions are integrated into a general and flexible analysis environment that allows users to interactively explore the spatio-temporal behavior of large-scale simulations. We demonstrate the results using the analysis of extinction holes in turbulent combustion as primary case study and a number of other applications to illustrate the generality of the approach. © 2015 IEEE."
2,International Joint Conference on Natural Language Processing (IJCNLP),2015,Fast uncertainty-driven large-scale volume feature extraction on desktop PCs,"The ability to efficiently and accurately extract features of interest is an extremely important tool in the field of scientific visualization as it allows researchers to isolate regions based on their domain knowledge. However, the increasing size of large-scale datasets often forces users to rely on distributed computing environments which have many drawbacks in terms of interaction and convenience. Many of the current feature extraction techniques are designed around these distributed environments. The ability to overcome the memory and bandwidth limitations of desktop PCs can broaden their usability towards large-scale applications. In this work, we present a new hybrid feature extraction technique which combines GPU-accelerated clustering with the multi-resolution advantages of supervoxels in order to handle large-scale datasets on standard desktop PCs. Furthermore, this is paired with a user-driven uncertainty-based refinement approach to enhance extraction results into a desired level of detail. We demonstrate the effectiveness and interactivity of this technique using a number of application specific examples utilizing large-scale volumetric datasets. © 2015 IEEE."
3,International Joint Conference on Natural Language Processing (IJCNLP),2015,Cylindrical acceleration structures for large hexahedral volume visualization,"Scientific simulations generate large irregular volumes with complex geometry. In volume rendering, the efficiency of the ray casting algorithms relies heavily on acceleration data structures to achieve accurate visual representations at interactive rates. In this paper, two acceleration structures are introduced to visualize a large irregular volume on the GPU: (i) two-level cylindrical grid, and (ii) cylindrical bounding volume hierarchy (BVH). With thorough analysis and detailed experimental results, we demonstrate that the cylindrical data structures can effectively store the hexahedral volumes, reduce duplications, and increase ray casting performance. © 2015 IEEE."
4,International Joint Conference on Natural Language Processing (IJCNLP),2015,Flying edges: A high-performance scalable isocontouring algorithm,"Isocontouring remains one of the most widely used visualization techniques. While a plethora of important contouring algorithms have been developed over the last few decades, many were created prior to the advent of ubiquitous parallel computing systems. With the emergence of large data and parallel architectures, a rethinking of isocontouring and other visualization algorithms is necessary to take full advantage of modern computing hardware. To this end we have developed a high-performance isocontouring algorithm for structured data that is designed to be inherently scalable. Processing is performed completely independently along edges over multiple passes. This novel algorithm also employs computational trimming based on geometric reasoning to eliminate unnecessary computation, and removes the parallel bottleneck due to coincident point merging. As a result the algorithm performs well in serial or parallel execution, and supports heterogeneous parallel computation combining data parallel and shared memory approaches. Further it is capable of processing data too large to fit entirely inside GPU memory, does not suffer additional costs due to preprocessing and search structures, and is the fastest non-preprocessed isocontouring algorithm of which we are aware on shared memory, multi-core systems. The software is currently available under a permissive, open source licence in the VTK visualization system. © 2015 IEEE."
5,International Joint Conference on Natural Language Processing (IJCNLP),2015,Lagrangian representations of flow fields with parameter curves,"There are two main principles in which a flow field can be described. In its Eulerian representation, the immediate direction of the flow is used. In its Lagrangian representation, the paths of fluid parcels are stored. The latter way has proven less prone to error in cases when only a sparse subset of the original flow field can be used due to restrictions in computational capacity, which are inevitable in practice. But so far, a main drawback of the Lagrangian representation is that it leads to unsightly lines with sharp edges, because the spanning trajectories are stored as polygonal chains to minimize storage space. In this paper, we tackle this issue by proposing to represent the trajectories by means of parameter curves, like composite Bézier curves and cubic Hermite splines, instead of polygonal chains. We demonstrate that a parameter representation results in smoother lines with comparable approximation error under equal conditions of limited storage capacity. © 2015 IEEE."
6,International Joint Conference on Natural Language Processing (IJCNLP),2015,A compact multivariate histogram representation for query-driven visualization,"As the size of data continues to increase, distribution-based methods become increasingly more important for data summarization and queries. To represent the distribution from a dataset without relying on a particular parametric model, histograms are widely used in many applications as it is simple to create and efficient to query. For multivariate scientific datasets, however, storing multivariate histograms in the form of multi-dimensional arrays is very expensive as the size of the histogram grows exponentially with the number of variables. In this paper, we present a compact structure to store multivariate histograms to reduce its huge space cost while supporting different kinds of histogram queries efficiently. A data space transformation is employed first to transform the large multi-dimensional array to a much smaller array. Dictionaries are constructed to encode this transformation. Then, the multivariate histogram is represented as a sequence of index and frequency pairs where the indices are represented as bitstrings computed from a space filling curve traversal of the transformed array. With this compact representation, the storage cost for the histograms is reduced. Based on our representation, we also present several common types of queries such as histogram marginalization, bin-merging and computation of conditional probability. We parallelize both the histogram computation and queries to improve its efficiency. We present several query-driven visualization applications to explore and analyze multivariate scientific datasets. Experimental results to study the performance of our framework in terms of scalability and space cost are also discussed. © 2015 IEEE."
7,International Joint Conference on Natural Language Processing (IJCNLP),2015,A visual analytics paradigm enabling trillion-edge graph exploration,"We present a visual analytics paradigm and a system prototype for exploring web-scale graphs. A web-scale graph is described as a graph with ∼one trillion edges and ∼50 billion vertices. While there is an aggressive R&D effort in processing and exploring web-scale graphs among internet vendors such as Facebook and Google, visualizing a graph of that scale still remains an underexplored R&D area. The paper describes a nontraditional peek-and-filter strategy that facilitates the exploration of a graph database of unprecedented size for visualization and analytics. We demonstrate that our system prototype can 1) preprocess a graph with ∼25 billion edges in less than two hours and 2) support database query and interactive visualization on the processed graph database afterward. Based on our computational performance results, we argue that we most likely will achieve the one trillion edge mark (a computational performance improvement of 40 times) for graph visual analytics in the near future. © 2015 IEEE."
8,International Joint Conference on Natural Language Processing (IJCNLP),2015,Scalable visualization of discrete velocity decompositions using spatially organized histograms,"Visualizing the velocity decomposition of a group of objects has applications to many studied data types, such as Lagrangian-based flow data or geospatial movement data. Traditional visualization techniques are often subject to a trade-off between visual clutter and loss of detail, especially in a large scale setting. The use of 2D velocity histograms can alleviate these issues. While they have been used throughout domain specific areas on a basic level, there has been very little work in the visualization community on leveraging them to perform more advanced visualization tasks. In this work, we develop an interactive system which utilizes velocity histograms to visualize the velocity decomposition of a group of objects. In addition, we extend our tool to utilize two schemes for histogram generation: an on-the-fly sampling scheme as well as an in situ scheme to maintain interactivity in extreme scale applications. © 2015 IEEE."
9,International Joint Conference on Natural Language Processing (IJCNLP),2015,Exploring tradeoffs between power and performance for a scientific visualization algorithm,"Power is becoming a major design constraint in the world of high-performance computing (HPC). This constraint affects the hardware being considered for future architectures, the ways it will run software, and the design of the software itself. Within this context, we explore tradeoffs between power and performance. Visualization algorithms themselves merit special consideration, since they are more data-intensive in nature than traditional HPC programs like simulation codes. This data-intensive property enables different approaches for optimizing power usage. Our study focuses on the isosurfacing algorithm, and explores changes in power and performance as clock frequency changes, as power usage is highly dependent on clock frequency. We vary many of the factors seen in the HPC context-programming model (MPI vs. OpenMP), implementation (generalized vs. optimized), concurrency, architecture, and data set-and measure how these changes affect power-performance properties. The result is a study that informs the best approaches for optimizing energy usage for a representative visualization algorithm. © 2015 IEEE."
